访客姓名,来访事由,事由补充,访问地点,访问楼层,拜访人,接待方式,接待人,来访时间,人脸,手机号,预约号
黄晓明,面试,,半岛12号楼,四楼,刘雪松,本人,刘雪松,2019-09-20,Y,15860300736,R0001
邓超,面试,,半岛12号楼,二楼,郭德纲,同事,于谦,2019-09-23,Y,1366,R0002
黄渤,学术交流,,半岛12号楼,四楼,杨振宁,本人,杨振宁,2019-09-23,N,5218,R0003
杨幂,学术交流,,半岛12号楼,二楼,张瑞琳,同事,钟翔,2019-09-23,N,13593009657,R0004
王源,商务会谈,,半岛12号楼,二楼,蔡明轩,本人,蔡明轩,2019-09-26,N,13664234818,R0005
彭于晏,商务会谈,,半岛12号楼,六楼,杨桦,不接待,,2019-09-27,Y,18914341282,R0006
欧阳娜娜,商务会谈,,半岛12号楼,二楼,张锦宇,本人,张锦宇,9/27/2019,Y,6401,
宋祖儿,学术交流,,半岛12号楼,二楼,周鑫培,本人,周鑫培,9/27/2019,Y,8533,
宋丹丹,面试,,,四楼,,,,,,1654,
杨洋,面试,,半岛12号楼,二楼,梁俊文,本人,梁俊文,9/27/2019,Y,6542,
马继祖,面试,,半岛12号楼,二楼,马斌,本人,马斌,9/28/2019,Y,,
彭万里,面试,,半岛12号楼,三楼,单天逸,本人,单天逸,9/28/2019,Y,2249,
林君雄,学术交流,,半岛12号楼,二楼,杨学锐,同事,张译中,9/23/2019,N,5018,R0004
夏圆圆,学术交流,,半岛12号楼,二楼,杨文,本人,杨文,9/23/2019,Y,,
吴学纯,非面试,,,,赵先生,本人,赵先生,,,18701713610,
邱实,面试,,,四楼,,本人,,,N,18810305292,
杨浚琦,非面试,,,四楼,方硕琼,本人,方硕琼,,N,18987269978,
杨曦露,非面试,,,三楼,梁俊文,同事,赵云,,N,13100001111,
晏超,非面试,,,三楼,邱实,不接待,,,N,17321373808,
方烁琼,非面试,,,四楼,李继伟,本人,李继伟,,,13311133333,
吴凡,面试,,,,,,,,,12345677909 ,
彭一帆,非面试,洽谈合作,,,张瑞琳,,,,,13365666789 ,
金顺,非面试,拜访客户,,,王杰,,,,,158 0093 3036,
冷勇,面试,工作面试,,,朱健,,,,,18302197179 ,
林友德,非面试,拜访客户,,,王杰,,,,,186 0205 1019,
沈笕棵,非面试,收寄包裹,,,张瑞琳,,,,,159 0571 7099,
李高攀,非面试,,,,杨皓,,,,,18521306927 ,
吴帆,面试,,,,,,,,,12345679848 ,
蔡语丝,面试,面试产品,,,,,,,,13875642365,
张瑞琳,非面试,拜访客户,,,梁俊文,,,,,13524478965,
李波,非面试,签署合同,,,李彦达,,,,,15021556142,
王凡,面试,面试中台,,,,,,,,18217182840,
胡志丁,非面试,参观学习,,,陈磊,,,,,13621809994,
